"Paper.DOI","Author.Names","gender","certainty","Author.Position.Per.Paper","PositionRegion"
"10.0000/00000001","Marc Abrams","male",0.8,2,"L"
"10.0000/00000001","Randy L. Ribler","male",0.8,1,"F"
"10.0000/00000002","Donna J. Cox","female",1,1,"F"
"10.1109/INFVIS.1995.528680","Hua Su","unisex",1,4,"L"
"10.1109/INFVIS.1995.528680","Huw Dawkes","male",0.8,3,"M"
"10.1109/INFVIS.1995.528680","Lisa Tweedie","female",0.875,2,"M"
"10.1109/INFVIS.1995.528680","Robert Spence","male",0.857142857142857,1,"F"
"10.1109/INFVIS.1995.528681","Gene Golovchinsky","male",0.875,3,"L"
"10.1109/INFVIS.1995.528681","Klaus Reichenberger","male",0.8,1,"F"
"10.1109/INFVIS.1995.528681","Thomas Kamps","male",0.833333333333333,2,"M"
"10.1109/INFVIS.1995.528682","W. Wright","male",1,1,"F"
"10.1109/INFVIS.1995.528683","Peter Lüders","male",1,1,"F"
"10.1109/INFVIS.1995.528683","Rolf Ernst","male",0.833333333333333,2,"L"
"10.1109/INFVIS.1995.528684","Joe Mattis","male",0.857142857142857,3,"M"
"10.1109/INFVIS.1995.528684","John Kolojejchick","male",0.857142857142857,4,"L"
"10.1109/INFVIS.1995.528684","Mei C. Chuah","female",0.8,1,"F"
"10.1109/INFVIS.1995.528684","Steven F. Roth","male",1,2,"M"
"10.1109/INFVIS.1995.528685","Dean F. Jerding","male",1,1,"F"
"10.1109/INFVIS.1995.528685","John T. Stasko","male",0.857142857142857,2,"L"
"10.1109/INFVIS.1995.528686","Anne Schur","female",1,6,"M"
"10.1109/INFVIS.1995.528686","D. Lantrip","male",1,4,"M"
"10.1109/INFVIS.1995.528686","James A. Wise","male",0.857142857142857,1,"F"
"10.1109/INFVIS.1995.528686","James J. Thomas","male",0.857142857142857,2,"M"
"10.1109/INFVIS.1995.528686","Kelly Pennock","female",0.666666666666667,3,"M"
"10.1109/INFVIS.1995.528686","M. Pottier","male",1,5,"M"
"10.1109/INFVIS.1995.528686","V. Crow","male",1,7,"L"
"10.1109/INFVIS.1995.528687","Henry Sowizral","male",0.833333333333333,2,"L"
"10.1109/INFVIS.1995.528687","Ian G. Angus","male",0.833333333333333,1,"F"
"10.1109/INFVIS.1995.528688","Christopher Ahlberg","male",1,1,"F"
"10.1109/INFVIS.1995.528688","Erik Wistrand","male",1,2,"L"
"10.1109/INFVIS.1995.528689","Rick Kazman","male",1,2,"L"
"10.1109/INFVIS.1995.528689","S. Jeromy Carrière","male",1,1,"F"
"10.1109/INFVIS.1995.528690","Eric Petajan","male",1,4,"L"
"10.1109/INFVIS.1995.528690","Shaul Dar","male",0.8,2,"M"
"10.1109/INFVIS.1995.528690","Ted Leibfried","male",1,3,"M"
"10.1109/INFVIS.1995.528690","Vinod Anupam","male",0.8,1,"F"
"10.1109/INFVIS.1995.528691","Andrew Wood","male",1,3,"M"
"10.1109/INFVIS.1995.528691","Nick S. Drew","male",1,2,"M"
"10.1109/INFVIS.1995.528691","Robert J. Hendley","male",0.857142857142857,1,"F"
"10.1109/INFVIS.1995.528691","Russell Beale","male",1,4,"L"
"10.1109/INFVIS.1995.528692","K. Andrews","male",1,1,"F"
"10.1109/INFVIS.1995.528693","David S. Day","male",1,2,"M"
"10.1109/INFVIS.1995.528693","Lynette Hirschman","female",0.833333333333333,3,"L"
"10.1109/INFVIS.1995.528693","R. Mitchell","male",1,1,"F"
"10.1109/INFVIS.1995.528694","Theresa-Marie Rhyne","female",1,1,"F"
"10.1109/INFVIS.1995.528695","C. A. Burton","male",1,1,"F"
"10.1109/INFVIS.1995.528695","E. A. Sonenberg","male",1,3,"L"
"10.1109/INFVIS.1995.528695","L. J. Johnston","male",1,2,"M"
"10.1109/INFVIS.1995.528696","A. Pernicks","male",1,5,"M"
"10.1109/INFVIS.1995.528696","J. Croall","male",1,4,"M"
"10.1109/INFVIS.1995.528696","Joel Winstead","male",1,3,"M"
"10.1109/INFVIS.1995.528696","Joshua LeVasseur","male",1,2,"M"
"10.1109/INFVIS.1995.528696","Nahum D. Gershon","male",1,1,"F"
"10.1109/INFVIS.1995.528696","William Ruh","male",0.857142857142857,6,"L"
"10.1109/INFVIS.1995.528697","Kenneth C. Cox","male",1,1,"F"
"10.1109/INFVIS.1995.528697","Stephen G. Eick","male",1,2,"L"
"10.1109/INFVIS.1996.559210","Carolyn Dunmire","female",1,8,"L"
"10.1109/INFVIS.1996.559210","Cristina C. Gomberg","female",0.833333333333333,4,"M"
"10.1109/INFVIS.1996.559210","Jeffrey Senn","male",1,3,"M"
"10.1109/INFVIS.1996.559210","John A. Kolojechick","male",0.857142857142857,7,"M"
"10.1109/INFVIS.1996.559210","Michael B. Burks","male",1,5,"M"
"10.1109/INFVIS.1996.559210","Peter Lucas 0002","male",1,2,"M"
"10.1109/INFVIS.1996.559210","Philip J. Stroffolino","male",1,6,"M"
"10.1109/INFVIS.1996.559210","Steven F. Roth","male",1,1,"F"
"10.1109/INFVIS.1996.559211","Michelle X. Zhou","female",0.833333333333333,1,"F"
"10.1109/INFVIS.1996.559211","Steven K. Feiner","male",1,2,"L"
"10.1109/INFVIS.1996.559212","Rick Kazman","male",1,1,"F"
"10.1109/INFVIS.1996.559212","S. Jeromy Carrière","male",1,2,"L"
"10.1109/INFVIS.1996.559213","Mei C. Chuah","female",0.8,1,"F"
"10.1109/INFVIS.1996.559213","Steven F. Roth","male",1,2,"L"
"10.1109/INFVIS.1996.559214","Alan Keahey","male",0.857142857142857,1,"F"
"10.1109/INFVIS.1996.559214","Edward L. Robertson","male",1,2,"L"
"10.1109/INFVIS.1996.559215","David J. Cowperthwaite","male",1,2,"M"
"10.1109/INFVIS.1996.559215","F. David Fracchia","male",1,3,"L"
"10.1109/INFVIS.1996.559215","M. Sheelagh T. Carpendale","female",1,1,"F"
"10.1109/INFVIS.1996.559216","Graham J. Wills","male",0.833333333333333,1,"F"
"10.1109/INFVIS.1996.559218","Keith Andrews","male",1,1,"F"
"10.1109/INFVIS.1996.559218","Michael Pichler","male",1,2,"M"
"10.1109/INFVIS.1996.559218","Peter Wolf","male",1,3,"L"
"10.1109/INFVIS.1996.559219","Kyoji Hirata","male",1,2,"M"
"10.1109/INFVIS.1996.559219","Sougata Mukherjea","male",1,1,"F"
"10.1109/INFVIS.1996.559219","Yoshinori Hara","male",1,3,"L"
"10.1109/INFVIS.1996.559220","Amen Zwa","male",0.8,3,"M"
"10.1109/INFVIS.1996.559220","Chris Shaw 0002","male",0.833333333333333,2,"M"
"10.1109/INFVIS.1996.559220","D. Aaron Roberts","male",1,5,"L"
"10.1109/INFVIS.1996.559220","David S. Ebert","male",1,1,"F"
"10.1109/INFVIS.1996.559220","Ethan L. Miller","male",0.833333333333333,4,"M"
"10.1109/INFVIS.1996.559221","Dianne Hackborn","female",0.833333333333333,2,"L"
"10.1109/INFVIS.1996.559221","Kenneth C. Cox","male",1,1,"F"
"10.1109/INFVIS.1996.559222","Amitabh Varshney","male",1,1,"F"
"10.1109/INFVIS.1996.559222","Arie E. Kaufman","male",0.8,2,"L"
"10.1109/INFVIS.1996.559223","Chris Bentley","male",0.833333333333333,1,"F"
"10.1109/INFVIS.1996.559223","Matthew O. Ward","male",1,2,"L"
"10.1109/INFVIS.1996.559224","Andrew H. Crabb","male",1,2,"M"
